Run,Event,dimuon_mass_GeV,dimuon_pt_GeV,leading_muon_pt_GeV,subleading_muon_pt_GeV,Q1,Q2,Type1,Type2,opposite_sign,both_global
146511,118598848,3.03152,7.410087204189975,3.99701,3.44063,1,-1,G,G,True,True
146511,118802930,2.9936,6.061057461927415,5.13497,1.25321,-1,1,G,G,True,True
146511,119019513,2.68283,5.7619802422876285,5.45233,0.889514,-1,1,G,T,True,False
146511,119524599,3.04621,6.655324097269794,4.01126,3.30418,1,-1,G,G,True,True
146511,119694640,2.92158,7.979658442952367,4.7586,3.23474,1,-1,G,G,True,True
146511,120037904,3.07473,5.790382116607245,5.12701,1.42007,1,-1,G,T,True,False
146511,123243258,2.77506,7.200771750669577,6.09823,1.44495,-1,1,G,T,True,False
146511,123656146,3.53859,11.189117803532369,9.15042,2.11566,1,-1,G,G,True,True
146511,123762569,3.08232,11.707945440601438,8.2595,3.78507,-1,1,G,G,True,True
146511,124031709,3.0741,8.907937274970003,5.57036,3.66008,1,-1,G,G,True,True
146511,124075056,3.10676,10.06448649122746,6.24668,4.27975,1,-1,G,G,True,True
146511,124357061,2.96373,5.058925560666514,4.27773,1.57364,-1,1,G,T,True,False
146511,124393699,3.09611,11.403800498886325,7.38948,4.02309,-1,1,G,G,True,True
146511,124716789,3.10929,7.766699496762572,6.9515,1.20083,-1,1,G,T,True,False
146511,124852210,3.09339,8.110961116145544,5.18324,3.30612,-1,1,G,G,True,True
146511,125112628,3.1065,12.617297705683416,8.78626,3.87124,1,-1,G,G,True,True
146511,125120808,3.23022,7.54809956177507,6.1644,1.74698,1,-1,G,T,True,False
146511,126512080,3.10425,11.60099068954044,6.60703,4.99396,1,-1,G,G,True,True
146511,127206475,3.09383,9.864185306795488,5.64964,4.46429,1,-1,G,G,True,True
146511,130578859,3.58353,6.7685714205159275,6.03005,1.54708,-1,1,G,T,True,False
146511,130650714,3.07553,6.002561394890436,3.14315,3.12461,1,-1,G,G,True,True
146511,131258302,3.09657,13.870754070575977,12.1072,1.85938,1,-1,G,G,True,True
146511,131814705,3.09429,13.949344267934748,7.59151,6.36151,1,-1,G,G,True,True
146511,134991744,3.09066,8.25528387739277,4.45745,4.00026,1,-1,G,G,True,True
146511,217281686,3.08968,9.249583479595175,5.32205,3.93782,1,-1,G,G,True,True
146511,217622498,2.65452,6.857038498687899,6.63574,0.707315,1,-1,G,T,True,False
146511,218409089,3.11301,9.101594937196447,5.59519,3.81952,1,-1,G,G,True,True
146511,218611865,3.10299,8.985386234263055,5.63837,3.42474,1,-1,G,G,True,True
146511,218624166,3.12759,9.14799163325481,5.53572,3.62977,1,-1,G,G,True,True
146511,219001846,3.06002,9.449956082391337,6.60507,2.98437,1,-1,G,G,True,True
146511,219309163,3.37224,6.79300244824782,5.95875,1.6202,-1,1,G,T,True,False
146511,219369067,3.13987,18.085260861607722,14.5815,3.54087,1,-1,G,T,True,False
146511,219873927,3.2294,10.0906247847445,8.37806,2.14849,1,-1,G,T,True,False
146511,221074987,3.57311,7.2787748204021945,6.04396,1.87832,1,-1,G,T,True,False
146511,221211675,3.01246,9.277116391646059,8.11888,1.60548,-1,1,G,T,True,False
146511,221344012,3.10247,8.45013099606154,4.48944,4.13673,1,-1,G,G,True,True
146511,221404929,3.09025,7.366879409296992,3.94285,3.50258,1,-1,G,G,True,True
146511,226597623,2.82637,11.175358563375987,9.65739,1.69601,1,-1,G,T,True,False
146511,226805200,2.67673,9.906940626651602,5.44651,4.50496,-1,1,G,G,True,True
146511,252481522,3.27877,6.889984811601401,6.07923,1.50627,-1,1,G,T,True,False
146511,252593710,3.47647,9.241411664450622,4.87315,4.52183,-1,1,G,G,True,True
146511,252597954,3.09092,8.964635997629797,6.01522,3.2677,1,-1,G,G,True,True
146511,252721207,3.12881,8.782492268058993,4.85457,4.1889,-1,1,G,G,True,True
146511,252955941,3.13686,10.921071188402903,6.20282,5.13561,1,-1,G,G,True,True
146511,255868639,3.26521,10.847280907176877,9.61818,1.68149,-1,1,G,T,True,False
146511,255900210,3.34366,12.084386812188693,10.7084,1.79959,-1,1,G,T,True,False
146511,255943149,3.42501,10.876296534642156,9.65988,1.72289,-1,1,G,T,True,False
146511,256451496,3.10416,7.811470635488302,4.40167,3.98767,-1,1,G,G,True,True
146511,257861165,3.0781,12.843222711936594,6.86336,6.14671,-1,1,G,G,True,True
146511,269204093,3.04831,9.299430256445822,5.88927,3.4104,-1,1,G,G,True,True
146511,269399619,3.14243,8.136200503363918,7.91693,0.776038,1,-1,G,T,True,False
146511,269754070,3.04673,10.453837980313201,6.98879,3.58028,-1,1,G,G,True,True
146511,270830965,2.97835,13.582160275247087,9.32147,4.54096,-1,1,G,T,True,False
146511,271077499,3.45944,8.20423223927925,6.94138,1.95845,-1,1,G,T,True,False
146511,271194527,3.50491,3.996055936686197,3.35301,1.68526,-1,1,G,T,True,False
146511,271420295,3.09392,8.068274951835802,4.41114,3.92017,1,-1,G,T,True,False
146511,271816502,2.71411,6.413192371453783,5.81627,1.11774,-1,1,G,T,True,False
146511,271849203,3.17307,7.44391744776989,7.06682,0.981671,-1,1,G,T,True,False
146511,272553993,3.40797,5.371489279397381,4.49413,1.52144,1,-1,G,T,True,False
